## adnan2021comparison
| N° | Texto literal                                                                                                                                                                                                                                                                                                                                                                                                                          | Pág./Sección                                                                                 | Eje          | Tipo                       | Razón                                                                                                                                                              |
| 7  | **"In contrast to hydrological models, however, the LSTM does not 'know' the principle of water/mass conservation and the governing process equations describing e.g. infiltration or evapotranspiration processes a priori."**                                                                                                | **p. 14, Hydrological interpretation** · Ctrl+F: *"In contrast to hydrological models"* | (1), (7) | **[LIMITACIÓN/CONTRASTE]** | Muy valiosa para una discusión equilibrada entre modelos físicos e IA.                                         |
| 8  | **"Thus, albeit the LSTM was only trained to predict runoff from meteorological observations, it has learned to model snow dynamics without any forcing to do so."**                                                                                                                                                           | **p. 14, Hydrological interpretation** · Ctrl+F: *"Thus, albeit the LSTM"*              | (1), (6) | **[HALLAZGO/NÚMERO]**      | Evidencia emergente de aprendizaje de procesos físicos sin imponer ecuaciones explícitas.                      |
| 9  | **"LSTMs are able to predict runoff from meteorological observations with accuracies comparable to the well-established SAC-SMA + Snow-17 model."**                                                                                                                                                                            | **p. 15, Summary and conclusion** · Ctrl+F: *"LSTMs are able to predict"*               | (1)      | **[HALLAZGO/NÚMERO]**      | Conclusión principal fácilmente citable para el estado del arte.                                               |
| 10 | **"Pre-trained knowledge can be transferred into different catchments, which might be a possible approach for reducing the data demand and/or regionalization applications, as well as for prediction in ungauged basins or basins with few observations."**                                                                   | **p. 15, Summary and conclusion** · Ctrl+F: *"Pre-trained knowledge can be"*            | (1), (6) | **[HALLAZGO/NÚMERO]**      | Muy útil para justificar transferencia de conocimiento y regionalización.                                      |
| 11 | **"The data intensive nature of the LSTMs (as for any deep learning model) is a potential barrier for applying them in data-scarce problems [...]."**                                                                                                                                                                          | **p. 15, Summary and conclusion** · Ctrl+F: *"The data intensive nature"*               | (7)      | **[LIMITACIÓN/CONTRASTE]** | Permite discutir honestamente las limitaciones del enfoque basado en datos.                                    |
| 12 | **"An entirely justifiable barrier of using LSTMs (or any other data-driven model) in real-world applications is their black-box nature."**                                                                                                                                                                                    | **p. 15, Summary and conclusion** · Ctrl+F: *"An entirely justifiable barrier"*         | (7)      | **[LIMITACIÓN/CONTRASTE]** | Excelente cita para la sección de discusión sobre interpretabilidad y reproducibilidad.                        |


##kratzert2019towards
| N° | **Texto literal (verbatim)**                                                                                                                                                                                                                                                                                                                                                                               | **Pág./Sección**                                                                    | **Eje**      | **Tipo**                   | **Razón**                                                                                                                                                                |
| -: | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------- | ------------ | -------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
|  1 | **"By training a single LSTM model on 531 basins from the CAMELS dataset using meteorological time series data and static catchment attributes, we were able to significantly improve performance compared to a set of several different hydrological benchmark models."**                                                                                                                                 | **p. 1, Abstract**<br>Ctrl+F: *"By training a single LSTM"*                         | **(1)**      | **[HALLAZGO/NÚMERO]**      | Es la evidencia principal de que un modelo ML regional puede superar modelos hidrológicos tradicionales.                                                                 |
|  2 | **"Our proposed approach not only significantly outperforms hydrological models that were calibrated regionally, but also achieves better performance than hydrological models that were calibrated for each basin individually."**                                                                                                                                                                        | **p. 1, Abstract**<br>Ctrl+F: *"Our proposed approach not"*                         | **(1)**      | **[HALLAZGO/NÚMERO]**      | Excelente frase-ancla para justificar comparar híbridos/ML con modelos físicos.                                                                                          |
|  3 | **"The problem currently is that traditional hydrological models degrade significantly in performance when calibrated for multiple basins together instead of for a single basin alone."**                                                                                                                                                                                                                 | **p. 1, Abstract**<br>Ctrl+F: *"The problem currently is"*                          | **(1)**      | **[AFIRMACIÓN GENERAL]**   | Justifica por qué la regionalización sigue siendo un problema abierto.                                                                                                   |
|  4 | **"Using catchment attributes as static input features improves overall model performance as compared with not providing the model with catchment attributes."**                                                                                                                                                                                                                                           | **p. 8, Results (Sect. 3.1)**<br>Ctrl+F: *"Using catchment attributes as"*          | **(2)**      | **[HALLAZGO/NÚMERO]**      | Respalda directamente el uso de información adicional como *features*; en StoHyMoLAP puedes extrapolar la idea hacia usar descriptores estadísticos del ensemble físico. |
|  5 | **"Training against the basin-average NSE* loss function improves overall model performance as compared with training against an MSE loss function, especially in the low NSE spectra."**                                                                                                                                                                                                                  | **p. 8, Results (Sect. 3.1)**<br>Ctrl+F: *"Training against the basin-average"*     | **(4)**      | **[DEFINICIÓN/MÉTODO]**    | Muy útil para discutir funciones objetivo y entrenamiento robusto.                                                                                                       |
|  6 | **"The main benchmarking result is that the EA-LSTM significantly outperforms all benchmark models in the overall NSE."**                                                                                                                                                                                                                                                                                  | **p. 10, Results (Sect. 3.2)**<br>Ctrl+F: *"The main benchmarking result"*          | **(1)**      | **[HALLAZGO/NÚMERO]**      | Una de las frases más citables del artículo para el estado del arte.                                                                                                     |
|  7 | **"The model performance degrades with increasing noise in the static inputs. However, the degradation does not happen abruptly, but smoothly with increasing levels of noise, which is an indication that the LSTM is not overfitting on the static catchment attributes."**                                                                                                                              | **p. 11, Results (Sect. 3.3)**<br>Ctrl+F: *"The model performance degrades"*        | **(4)**      | **[HALLAZGO/NÚMERO]**      | Muy valiosa para discutir robustez y generalización del modelo.                                                                                                          |
|  8 | **"The results of the experiments described above demonstrate that a single 'universal' deep learning model can learn both regionally consistent and location-specific hydrologic behaviors."**                                                                                                                                                                                                            | **p. 15, Discussion and conclusion**<br>Ctrl+F: *"The results of the experiments"*  | **(1)**      | **[AFIRMACIÓN GENERAL]**   | Resume la contribución científica central del artículo.                                                                                                                  |
|  9 | **"Moving forward, it is worth mentioning that treating catchment attributes as static is a strong assumption (especially over long time periods), which is not necessarily reflected in the real world."**                                                                                                                                                                                                | **p. 17, Discussion and conclusion**<br>Ctrl+F: *"Moving forward, it is"*           | **(6)**      | **[LIMITACIÓN/CONTRASTE]** | Muy útil para discutir limitaciones y justificar modelos más dinámicos o híbridos.                                                                                       |
| 10 | **"In contrast, our regional EA-LSTM actually performs better than models calibrated separately for individual catchments. This result challenges the idea that runoff time series alone only contain enough information to restrict a handful of parameters ... and implies that structural improvements are still possible for most large-scale hydrology models, given the size of today's datasets."** | **p. 17, Discussion and conclusion**<br>Ctrl+F: *"In contrast, our regional"*       | **(1), (2)** | **[HALLAZGO/NÚMERO]**      | Excelente cita para argumentar que aún existe margen para innovaciones estructurales en modelación hidrológica.                                                          |

##li2024process
| N° | Texto literal                                                                                                                                                                                                                                         | Pág./Sección (Ctrl+F)                                                            | Eje      | Tipo                 | Razón                                                                                 |
| -- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------- | -------- | -------------------- | ------------------------------------------------------------------------------------- |
| 1  | **"Although deep learning (DL) models, especially long-short-term memory (LSTM), demonstrate greater accuracy than process-based models in rainfall-runoff simulation, the predictions from process-based models are more physical than DL models."** | **p.1, Abstract** • Ctrl+F: *Although deep learning (DL) models*                 | (1)      | [AFIRMACIÓN GENERAL] | Excelente frase de apertura para justificar la necesidad de modelos híbridos.         |
| 2  | **"The main reason is that DL models have almost no process understanding capabilities like process-based models beyond their fitting capability."**                                                                                                  | **p.1, Abstract** • Ctrl+F: *The main reason is*                                 | (1)      | [AFIRMACIÓN GENERAL] | Respalda el argumento de que el ML puro carece de interpretación física.              |
| 3  | **"Specifically, the median Nash-Sutcliffe efficiency (NSE) of PRNN-EA-LSTM in local and regional simulation is 0.03 and 0.02 higher than LSTM and 0.01 higher than EXP-HYDRO-EA-LSTM."**                                                             | **p.1, Abstract** • Ctrl+F: *Specifically, the median Nash-Sutcliffe*            | (1)      | [HALLAZGO/NÚMERO]    | Evidencia cuantitativa de mejora obtenida mediante un modelo híbrido.                 |
| 4  | **"Additionally, PRNN-EA-LSTM significantly enhances the low flow simulations and reduces the catchments number with negative NSE."**                                                                                                                 | **p.1, Abstract** • Ctrl+F: *Additionally, PRNN-EA-LSTM significantly enhances*  | (6)      | [HALLAZGO/NÚMERO]    | Muy útil para sustentar la importancia del tratamiento de bajos caudales y baseflow.  |
| 5  | **"This study demonstrates that process-based models can help DL models better represent the rainfall-runoff relationship under a unified architecture."**                                                                                            | **p.1, Abstract** • Ctrl+F: *This study demonstrates that process-based*         | (1)      | [AFIRMACIÓN GENERAL] | Resume el aporte conceptual del trabajo y justifica arquitecturas híbridas.           |
| 6  | **"Hybrid modeling strategies have become the most effective method to respond to this scientific problem."**                                                                                                                                         | **p.2, Section 1.3** • Ctrl+F: *Hybrid modeling strategies have become*          | (1)      | [AFIRMACIÓN GENERAL] | Cita muy útil para el estado del arte de modelos híbridos.                            |
| 7  | **"Regional PRNN-EA-LSTM achieves a higher mean NSE value and demonstrates fewer catastrophic predictions, suggesting that it possesses more robust cross-catchment learning capabilities compared to the other models."**                            | **p.5, Results** • Ctrl+F: *Regional PRNN-EA-LSTM achieves*                      | (1), (6) | [HALLAZGO/NÚMERO]    | Evidencia de robustez y generalización espacial del enfoque híbrido.                  |
| 8  | **"Therefore, this study speculates that regional PRNN-EA-LSTM has the potential to learn new baseflow dynamics from baseflow sequences and catchment attribute data."**                                                                              | **p.6, Results** • Ctrl+F: *Therefore, this study speculates*                    | (6)      | [AFIRMACIÓN GENERAL] | Muy relevante para discutir memoria hidrológica y representación del flujo base.      |
| 9  | **"The runoff hydrograph simulated by PRNN-EA-LSTM is more physically consistent than pseudo-PRNN-EA-LSTM (without baseflow dynamics) on the number of days with no or little rain."**                                                                | **p.6, Results** • Ctrl+F: *The runoff hydrograph simulated*                     | (6)      | [HALLAZGO/NÚMERO]    | Respalda la importancia explícita de incorporar dinámica de baseflow.                 |
| 10 | **"The synergy between physics and DL within a unified architecture has yielded an effect where the combination is greater than the sum of its parts."**                                                                                              | **p.9, Conclusions** • Ctrl+F: *The synergy between physics*                     | (1)      | [AFIRMACIÓN GENERAL] | Excelente frase para la discusión y conclusión de un artículo sobre modelos híbridos. |
| 11 | **"The baseflow sequences output by the PRNN cell effectively educate PRNN-EA-LSTM, enabling it to improve its ability to simulate low flow values."**                                                                                                | **p.9, Conclusions** • Ctrl+F: *The baseflow sequences output*                   | (6)      | [HALLAZGO/NÚMERO]    | Muy alineada con tu discusión sobre memoria hidrológica y bajos caudales.             |
| 12 | **"Including process dynamics within the DL architecture brings another potential advantage: the ability to use multiple observations to constrain the model's learning of the target variable."**                                                    | **p.9, Conclusions** • Ctrl+F: *Including process dynamics within*               | (1)      | [DEFINICIÓN/MÉTODO]  | Útil para justificar arquitecturas físicas enriquecidas y futuras extensiones.        |

##mekonnen2015hybrid
| N°     | Texto literal                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Pág./Sección                                                                         | Eje          | Tipo                       | Razón                                                                                                                                        |
| ------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------ | ------------ | -------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------- |
| **1**  | **"The results obtained in this study suggest that the fusion of process-based and data-driven models can provide improved modelling capabilities for representing the highly nonlinear nature of the hydrological processes in prairie landscapes."**                                                                                                                                                                                                                         | **p. 2, Abstract** (Ctrl+F: *"The results obtained in this"*)                        | **(1)**      | **[HALLAZGO/NÚMERO]**      | Es la principal evidencia de que un enfoque híbrido supera a modelos individuales para procesos hidrológicos no lineales.                    |
| **2**  | **"We argue that due to the importance of dynamic non-contributing area in determining the total response of the catchment and the difficulties associated with the fill-and-spill hypothesis at larger scales, there is a need for alternative approaches to enhance the capability of conventional models in simulating discharge in prairie catchments."**                                                                                                                  | **p. 3, Introduction** (Ctrl+F: *"We argue that due to"*)                            | **(1)**      | **[AFIRMACIÓN GENERAL]**   | Excelente para justificar por qué los modelos físicos requieren complementarse mediante ML.                                                  |
| **3**  | **"Accordingly, we suggest a hybrid modelling framework to handle dynamics and activation modes of non-contributing areas..."**                                                                                                                                                                                                                                                                                                                                                | **p. 3, Introduction** (Ctrl+F: *"Accordingly, we suggest a hybrid"*)                | **(1)**      | **[DEFINICIÓN/MÉTODO]**    | Define claramente la motivación metodológica del modelo híbrido.                                                                             |
| **4**  | **"Equation (3) shows that the residuals of the SWAT model for contributing areas contain information on overland flow from non-contributing areas, as well as the error associated with the SWAT model itself."**                                                                                                                                                                                                                                                             | **p. 5, Methods** (Ctrl+F: *"Equation (3) shows that"*)                              | **(2)**      | **[DEFINICIÓN/MÉTODO]**    | Muy útil para justificar el uso de residuos o salidas físicas como *features* del modelo ML.                                                 |
| **5**  | **"SWAT simulations can provide a proxy about the instantaneous wetness condition of the catchment that determines the extent of total flow contributed by potholes."**                                                                                                                                                                                                                                                                                                        | **p. 5, Methods** (Ctrl+F: *"SWAT simulations can provide a proxy"*)                 | **(2)**      | **[DEFINICIÓN/MÉTODO]**    | Esta cita es especialmente valiosa para StoHyMoLAP porque respalda utilizar variables derivadas del modelo físico como descriptores para ML. |
| **6**  | **"The statistical comparison showed that the hybrid SWAT-ANN model outperforms individual SWAT and ANN models in all three modelling phases."**                                                                                                                                                                                                                                                                                                                               | **p. 13, Results and Discussion** (Ctrl+F: *"The statistical comparison showed"*)    | **(1)**      | **[HALLAZGO/NÚMERO]**      | Frase contundente para respaldar la superioridad del enfoque híbrido.                                                                        |
| **7**  | **"The SWAT-ANN hybrid model, however, merges the benefits of both individual models and considerably decreases the modelling biases of the SWAT and ANN models during the low and high periods."**                                                                                                                                                                                                                                                                            | **p. 13, Results and Discussion** (Ctrl+F: *"The SWAT-ANN hybrid model, however"*)   | **(1), (6)** | **[HALLAZGO/NÚMERO]**      | Muy útil para discutir mejoras tanto en caudales bajos como altos.                                                                           |
| **8**  | **"The results revealed that the hybrid model outperforms the individual models with improved performance measures for calibration, validation and testing periods."**                                                                                                                                                                                                                                                                                                         | **p. 15, Summary and Conclusion** (Ctrl+F: *"The results revealed that the hybrid"*) | **(1), (4)** | **[HALLAZGO/NÚMERO]**      | Refuerza que la mejora no ocurre únicamente durante calibración sino también en validación y prueba.                                         |
| **9**  | **"The SWAT model cannot accurately describe high flows by ignoring the dynamics of non-contributing areas and representing the total response as a conventional hydrologic process. In contrast, the ANN model exhibited considerable error during the low and average periods by neglecting the physical processes that govern conventional runoff generation. The hybrid model, however, was able to describe the extreme conditions better than both individual models."** | **pp. 15–16, Summary and Conclusion** (Ctrl+F: *"The SWAT model cannot accurately"*) | **(1), (6)** | **[LIMITACIÓN/CONTRASTE]** | Excelente cita para argumentar por qué los modelos híbridos equilibran fortalezas físicas y de ML.                                           |
| **10** | **"It was found, however, that there could be a significant trade-off when the hybrid model is in the optimal condition... This means that in order to improve one error measure, others should decline."**                                                                                                                                                                                                                                                                    | **p. 15, Summary and Conclusion** (Ctrl+F: *"It was found, however"*)                | **(5)**      | **[LIMITACIÓN/CONTRASTE]** | Muy útil para discutir la optimización multiobjetivo y el compromiso entre distintas métricas.                                               |
| **11** | **"It was also revealed that the optimal solutions might be quite sparse in the fitness landscape, which can hinder the application of the model in real-world assessment studies due to the predictive uncertainty, as well as the lack of parametric identifiability."**                                                                                                                                                                                                     | **p. 16, Summary and Conclusion** (Ctrl+F: *"It was also revealed that"*)            | **(5), (7)** | **[LIMITACIÓN/CONTRASTE]** | Respalda la necesidad de analizar incertidumbre, identificabilidad y reproducibilidad.                                                       |


##mohammadi2022ihacres
| N°     | Texto literal                                                                                                                                                                                                                                                                           | Pág./Sección                                                                                                                 | Eje     | Tipo                       | Razón                                                                                             |
| ------ | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------- | ------- | -------------------------- | ------------------------------------------------------------------------------------------------- |
| **1**  | **"Contrarily, machine learning approaches for RR modeling provide high computation ability however, they are based on the data characteristics and the physics of the problem cannot be completely understood."**                                                                      | **p. 1, Abstract** (Ctrl+F: *"Contrarily, machine learning approaches"*)                                                     | **(1)** | **[AFIRMACIÓN GENERAL]**   | Excelente frase para justificar por qué un ML puro tiene limitaciones físicas.                    |
| **2**  | **"For the sake of overcoming the aforementioned deficiencies, this study coupled conceptual and machine learning approaches to establish a robust and more reliable RR model."**                                                                                                       | **p. 1, Abstract** (Ctrl+F: *"For the sake of overcoming"*)                                                                  | **(1)** | **[DEFINICIÓN/MÉTODO]**    | Resume exactamente la motivación de los modelos híbridos.                                         |
| **3**  | **"It is found that incorporating meteorological variables into the hydrological models increased the accuracy of the models in runoff simulation."**                                                                                                                                   | **p. 1, Abstract** (Ctrl+F: *"It is found that incorporating"*)                                                              | **(2)** | **[HALLAZGO/NÚMERO]**      | Respalda la incorporación de variables o descriptores adicionales para mejorar el modelo híbrido. |
| **4**  | **"This study proved that phase one (only hydrological model) has a big error while phase three (coupling hydrological model by machine learning model) gave a minimum error in runoff estimation in a snow-covered catchment."**                                                       | **p. 1, Abstract** (Ctrl+F: *"This study proved that phase one"*)                                                            | **(1)** | **[HALLAZGO/NÚMERO]**      | Muy útil para defender arquitecturas híbridas frente a modelos físicos aislados.                  |
| **5**  | **"The IHACRES-based MLP-WOA model with RMSE of 8.49 m3/s improved the performance of the ordinary IHACRES model by a factor of almost 27%."**                                                                                                                                          | **p. 1, Abstract** (Ctrl+F: *"The IHACRES-based MLP-WOA model"*)                                                             | **(1)** | **[HALLAZGO/NÚMERO]**      | Resultado cuantitativo fácilmente citable para justificar el beneficio de la hibridación.         |
| **6**  | **"Although both approaches have certain advantages where the former gives insights into the physics of the problem and the latter has robust computation ability, their main limitations respectively are lower computation precision and neglecting the physics of the RR process."** | **p. 2, Introduction** (Ctrl+F: *"Although both approaches have"*)                                                           | **(1)** | **[AFIRMACIÓN GENERAL]**   | Resume de forma muy clara el compromiso entre modelos físicos y ML.                               |
| **7**  | **"The current study recommended the improved RR modeling via hydrological models enhanced by ML approaches."**                                                                                                                                                                         | **p. 6, Improving white-box hydrological models via machine learning strategy** (Ctrl+F: *"The current study recommended"*)  | **(1)** | **[DEFINICIÓN/MÉTODO]**    | Puede emplearse para introducir el concepto de mejora mediante emuladores ML.                     |
| **8**  | **"Both applied ML techniques (MLP and SVM) proved adding meteorological variables in a parallel situation can increase the performance of hydrological models in snow-covered catchments."**                                                                                           | **p. 11, Results** (Ctrl+F: *"Both applied ML techniques"*)                                                                  | **(2)** | **[HALLAZGO/NÚMERO]**      | Sustenta el uso de información adicional como entradas del modelo híbrido.                        |
| **9**  | **"The MLP-WOA simulated runoff by result of MAE=4.56 (m3/s), RMSE=8.49 (m3/s), NSE=0.68, r=0.84, and KGE=0.66 in testing period."**                                                                                                                                                    | **p. 12, The accuracy improvement by coupled MLP-WOA model** (Ctrl+F: *"The MLP-WOA simulated runoff"*)                      | **(1)** | **[HALLAZGO/NÚMERO]**      | Proporciona métricas concretas de desempeño para comparar con StoHyMoLAP.                         |
| **10** | **"Results of this study demonstrate that coupling conceptual and ML models can provide satisfactory outcomes in terms of accurate computation and physical justification of the problem."**                                                                                            | **p. 19, Conclusions** (Ctrl+F: *"Results of this study demonstrate"*)                                                       | **(1)** | **[AFIRMACIÓN GENERAL]**   | Es probablemente la mejor frase para la discusión sobre modelos híbridos.                         |
| **11** | **"The developed methodology overcomes the basic deficiencies of the conceptual and ML methods where the former may fail to generate accurate results and the latter masked the physics of the problem."**                                                                              | **p. 19, Conclusions** (Ctrl+F: *"The developed methodology overcomes"*)                                                     | **(1)** | **[AFIRMACIÓN GENERAL]**   | Muy útil para fundamentar el argumento central de StoHyMoLAP.                                     |
| **12** | **"It is recommended to apply machine learning algorithms as feature selection tools for finding the most effective variables and overcoming models' input uncertainty."**                                                                                                              | **p. 19, Conclusions** (Ctrl+F: *"It is recommended to apply machine learning algorithms"*)                                  | **(2)** | **[LIMITACIÓN/CONTRASTE]** | Puede citarse para justificar la ingeniería de variables y selección de descriptores.             |


##moreido2021well
| N°     | Texto literal                                                                                                                                                                                                                                                                                                                                                            | Pág./Sección (Ctrl+F)                                                                     | Eje               | Tipo                       | Razón                                                                                                                                                                              |
| ------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ----------------------------------------------------------------------------------------- | ----------------- | -------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **1**  | **"We can conclude that in rainfall-driven catchments, the models performed generally better on a dataset prescribed by a hydrologist, while in mixed-snowmelt and baseflow-driven catchments, the automatic selection of predictors was preferable."**                                                                                                                  | **p.1, Abstract** (Ctrl+F: *We can conclude that in rainfall-driven*)                     | **(1), (2), (6)** | **[HALLAZGO/NÚMERO]**      | Es la principal conclusión del artículo. Respalda que el conocimiento hidrológico sigue siendo valioso y que el tipo de cuenca condiciona la estrategia de selección de variables. |
| **2**  | **"An emerging trend is to incorporate physics directly into the learning process (see e.g., [13])."**                                                                                                                                                                                                                                                                   | **p.2, Introduction** (Ctrl+F: *An emerging trend is*)                                    | **(1)**           | **[AFIRMACIÓN GENERAL]**   | Muy útil para justificar el auge de los modelos híbridos física–ML.                                                                                                                |
| **3**  | **"The abilities of DL models to outperform conceptual hydrological models in forecasting streamflow in ungauged basins has started a discussion on the conceptual models’ fate in the future world."**                                                                                                                                                                  | **p.2, Introduction** (Ctrl+F: *The abilities of DL models*)                              | **(1)**           | **[AFIRMACIÓN GENERAL]**   | Excelente antecedente para introducir el debate entre modelos físicos, ML puro e híbridos.                                                                                         |
| **4**  | **"The main objective of this paper is to explore several strategies to construct candidate sets of inputs for several types of ML models, ranging from their automatic selection to the direct use of hydrological knowledge about the modeled catchment."**                                                                                                            | **p.2, Introduction** (Ctrl+F: *The main objective of this paper*)                        | **(1), (2)**      | **[DEFINICIÓN/MÉTODO]**    | Resume exactamente el propósito metodológico del trabajo.                                                                                                                          |
| **5**  | **"Next, we used what we call in this paper rational feature selection, an expert-based approach to feature set construction relying upon the physical characteristics of the rainfall–runoff processes in the selected catchments."**                                                                                                                                   | **p.7, Feature Selection and Experimental Design** (Ctrl+F: *Next, we used what we call*) | **(1), (2)**      | **[DEFINICIÓN/MÉTODO]**    | Define formalmente la selección racional de variables basada en conocimiento hidrológico, muy cercana a la filosofía de StoHyMoLAP.                                                |
| **6**  | **"On the test sample, the models performed slightly better, and this, we believe, shows the advantage of sample shuffling to include a wider distribution of cases for model training as compared to (non-shuffled) time series."**                                                                                                                                     | **p.9, Results** (Ctrl+F: *On the test sample*)                                           | **(4)**           | **[HALLAZGO/NÚMERO]**      | Muy útil para discutir estrategias de partición del conjunto de entrenamiento y representatividad de los datos.                                                                    |
| **7**  | **"For both catchments, the LM and (piece-wise linear) M5P models outperformed ANNs on all lead times; however, the LSTM model was also effective on both training and test samples."**                                                                                                                                                                                  | **p.11, Discussion and Conclusions** (Ctrl+F: *For both catchments, the LM*)              | **(1)**           | **[HALLAZGO/NÚMERO]**      | Resultado importante porque contradice la idea de que modelos más complejos siempre superan a modelos simples.                                                                     |
| **8**  | **"In the Ussuri catchment, where the relationship between rainfall and runoff is more pronounced, rational feature selection is more efficient for forecasting improvement."**                                                                                                                                                                                          | **p.12, Further Recommendations** (Ctrl+F: *In the Ussuri catchment*)                     | **(2), (6)**      | **[HALLAZGO/NÚMERO]**      | Respalda el uso de variables seleccionadas con criterio hidrológico cuando la respuesta lluvia–escorrentía es dominante.                                                           |
| **9**  | **"First, we can hypothesize that rational feature selection is more efficient for catchments with rainfall floods, as it helps to account for natural basin conditions better than automatic feature selection. A machine learning model, so to speak, needs a teacher (hydrologist) that provides it with textbooks and then leaves it for self-teaching."**           | **p.12, Further Recommendations** (Ctrl+F: *First, we can hypothesize*)                   | **(1), (2)**      | **[AFIRMACIÓN GENERAL]**   | Probablemente la cita conceptual más potente para defender la incorporación del conocimiento hidrológico en modelos ML.                                                            |
| **10** | **"Second, we can hypothesize that in the contrasting conditions of significant attenuation of rainfall–runoff generation by the catchment and its highly nonlinear response, automatic feature selection could be preferable. Furthermore, the exhaustive employment of all available predictors is crucial, and any restrictions deteriorate the model performance."** | **p.12, Further Recommendations** (Ctrl+F: *Second, we can hypothesize*)                  | **(2), (6)**      | **[LIMITACIÓN/CONTRASTE]** | Muy valiosa porque **matiza** la hipótesis anterior: reconoce escenarios donde la selección automática supera al experto.                                                          |
| **11** | **"Our study demonstrates, however, that attempts for building a unified all-purpose data-driven hydrological model, which would automatically select its structure purely on the available data, for any type of catchment and given conditions, are elusive, at least to date."**                                                                                      | **p.12, Further Recommendations** (Ctrl+F: *Our study demonstrates*)                      | **(1)**           | **[LIMITACIÓN/CONTRASTE]** | Excelente cierre para argumentar que no existe un modelo universal y que la información física sigue siendo necesaria.                                                             |
